id,class_id,student_id
0,INFO-2003,9
1,INFO-2001,5
2,INFO-2001,6
3,INFO-2000,3
4,INFO-2001,6
5,INFO-2004,7
6,INFO-2001,0
7,INFO-2003,5
8,INFO-2003,7
12,INFO-2002,5
15,INFO-2001,8
17,INFO-2001,2
20,INFO-2004,2
23,INFO-2003,2
24,INFO-2001,3
26,INFO-2003,3
29,INFO-2004,7
30,INFO-2004,6
31,INFO-2001,1
32,INFO-2004,7
33,INFO-2001,0
34,INFO-2000,8
36,INFO-2003,1
41,INFO-2004,9
42,INFO-2000,8
43,INFO-2000,3
48,INFO-2002,4
49,INFO-2000,6
50,INFO-2002,8
52,INFO-2000,2
53,INFO-2002,2
54,INFO-2004,2
55,INFO-2001,3
59,INFO-2000,0
64,INFO-2002,3
65,INFO-2003,5
73,INFO-2004,1
74,INFO-2001,1
77,INFO-2001,8
78,INFO-2001,3
79,INFO-2003,0
80,INFO-2004,3
83,INFO-2003,3
85,INFO-2003,7
86,INFO-2004,6
87,INFO-2004,2
89,INFO-2004,0
91,INFO-2004,5
92,INFO-2002,6
94,INFO-2003,5
95,INFO-2001,5
101,INFO-2003,0
104,INFO-2003,2
106,INFO-2001,2
109,INFO-2000,4
110,INFO-2000,5
111,INFO-2000,2
112,INFO-2002,8
113,INFO-2000,4
116,INFO-2000,4
117,INFO-2002,2
118,INFO-2002,0
121,INFO-2000,6
123,INFO-2001,2
124,INFO-2003,1
126,INFO-2000,9
127,INFO-2003,5
129,INFO-2000,2
130,INFO-2001,7
131,INFO-2003,7
133,INFO-2001,5
136,INFO-2004,9
139,INFO-2002,0
140,INFO-2000,7
141,INFO-2001,0
142,INFO-2001,8
146,INFO-2000,6
147,INFO-2002,9
148,INFO-2001,2
149,INFO-2004,1
